PhraseId,SentenceId,Phrase,Sentiment
801,29,appropriate,3
803,29,structure,2
807,29,Arthur,2
809,29,Schnitzler,2
810,29,Reigen,2
817,30,vaudeville,2
819,30,show,2
821,30,than,2
823,30,well-constructed,3
824,30,narrative,2
827,30,on,2
829,30,those,2
830,30,terms,2
836,30,inoffensive,1
837,30,actually,2
839,30,rather,2
846,31,run-of-the-mill,1
847,31,action,2
854,32,Hampered,2
858,32,no,1
860,32,paralyzed,2
864,32,self-indulgent,1
865,32,script,2
866,32,...,2
871,32,aims,2
873,32,poetry,3
876,32,ends,2
877,32,up,2
879,32,sounding,3
881,32,satire,2
888,33,Ice,2
889,33,Age,2
894,33,first,2
896,33,computer-generated,2
898,33,feature,2
899,33,cartoon,2
902,33,feel,2
905,33,other,2
909,33,makes,2
913,33,glacial,2
914,33,pacing,2
916,33,early,2
931,34,here,2
934,34,makers,2
937,34,serve,2
940,34,cliches,2
943,34,considerable,3
944,34,dash,2
946,35,Cattaneo,2
952,35,followed,2
956,35,runaway,2
957,35,success,3
966,35,Full,3
967,35,Monty,2
970,35,different,2
972,36,They,2
975,36,'re,2
980,36,unnamed,2
983,36,easily,3
984,36,substitutable,1
985,36,forces,2
990,36,whatever,1
992,36,terror,1
996,36,heroes,3
999,36,horror,1
1002,36,avoid,0
1007,37,feels,2
1010,37,if,2
1016,37,interested,3
1019,37,itself,2
1023,37,amusing,4
1027,38,progression,2
1029,38,into,2
1031,38,rambling,1
1032,38,incoherence,1
1037,38,gives,2
1039,38,new,3
1040,38,meaning,2
1044,38,phrase,2
1046,38,`,2
1048,38,fatal,2
1050,38,error,1
1056,39,Do,2
1059,39,judge,2
1061,39,soon,2
1062,39,-,2
1069,39,dark,2
1072,39,gritty,3
1078,39,takes,2
1082,39,totally,2
1083,39,unexpected,2
1084,39,directions,2
1086,39,keeps,2
1093,40,young,2
1094,40,romantics,3
1096,40,out,1
1099,40,date,2
1107,41,Tartakovsky,2
1108,41,team,3
1113,41,freakish,3
1114,41,powers,2
1117,41,visual,2
1118,41,charm,3
1122,41,five,2
1123,41,writers,2
1125,41,slip,2
1130,41,modern,2
1131,41,rut,1
1134,41,banality,1
1137,42,Vincent,2
1138,42,Gallo,2
1144,42,right,3
1146,42,at,2
1147,42,home,2
1151,42,French,2
1152,42,shocker,2
1154,42,playing,2
1157,42,usual,2
1159,42,bad,0
1161,42,boy,2
1163,42,weirdo,2
1164,42,role,2
1172,43,primary,2
1173,43,goal,3
1178,43,frighten,2
1179,43,disturb,1
1182,43,then,2
1188,43,works,2
1190,43,spectacularly,4
1191,43,well,3
1195,43,shiver-inducing,3
1197,43,nerve-rattling,2
1198,43,ride,2
1202,44,100-minute,2
1204,44,only,2
1210,44,25,2
1211,44,minutes,2
1214,44,decent,3
1215,44,material,2
1217,45,Fortunately,2
1224,45,option,2
1231,46,sensational,4
1232,46,true-crime,2
1235,46,hell-jaunt,1
1236,46,purists,2
1238,46,might,2
1243,46,experimental,2
1246,46,storytelling,2
1248,46,-LRB-,1
1251,46,though,2
1255,46,horrifying,1
1257,46,-RRB-,3
1263,47,tricky,2
1264,47,satisfying,4
1267,47,any,2
1269,47,David,2
1272,47,Mamet,2
1275,47,airless,2
1277,47,cinematic,3
1279,47,shell,2
1280,47,games,2
1284,48,'m,2
1286,48,sure,2
1293,48,filmmaker,2
1295,48,disagree,3
1297,48,honestly,3
1302,48,see,2
1304,48,point,2
1306,49,Jones,2
1312,49,tackled,2
1315,49,meaty,3
1316,49,subject,2
1319,49,drawn,2
1321,49,engaging,4
1322,49,characters,2
1326,49,peppering,2
1328,49,pages,2
1331,49,memorable,4
1332,49,zingers,2
1335,50,Bloody,1
1336,50,Sunday,2
1341,50,grace,3
1346,50,call,2
1350,50,prevention,2
1354,50,place,2
1355,50,blame,2
1357,50,making,2
1365,50,war,1
1367,50,ever,2
1368,50,made,2
1375,51,clunky,1
1376,51,TV-movie,2
1377,51,approach,2
1381,51,detailing,3
1383,51,chapter,2
1387,51,life,3
1391,51,celebrated,3
1393,51,Irish,2
1395,51,playwright,2
1399,51,poet,2
1400,51,drinker,2
1402,52,Finally,2
1411,52,coming,2
1413,52,down,2
1417,52,Miramax,2
1419,52,deep,2
1420,52,shelves,2
1422,52,after,2
1425,52,couple,2
1428,52,aborted,2
1429,52,attempts,2
1432,52,Waking,2
1434,52,Reno,2
1438,52,strong,3
1441,52,letting,2
1444,52,sleeping,2
1445,52,lie,1
1452,53,Thanks,2
1453,53,largely,2
1455,53,Williams,2
1461,53,interesting,3
1462,53,developments,2
1465,53,processed,2
1468,53,60,2
1471,53,rest,2
1477,53,overexposed,1
1478,53,waste,1
1483,54,Comes,2
1484,54,across,2
1490,54,relic,2
1498,54,bygone,2
1499,54,era,2
1501,54,convolutions,2
1504,54,silly,3
1505,54,plausible,2
1512,55,Perhaps,2
1516,55,cliche,1
1521,55,refreshing,3
1525,56,Both,2
1527,56,lead,2
1530,56,Oscar-size,2
1533,57,Run,2
1536,57,your,2
1537,57,lives,2
1538,57,!,2
1542,58,Mark,2
1544,58,Pellington,2
1547,58,pop,2
1548,58,thriller,3
1555,58,kooky,2
1556,58,overeager,1
1563,58,spooky,2
1564,58,subtly,2
1568,58,myth,2
1572,59,Claude,3
1574,59,Chabrol,2
1575,59,camera,2
1580,59,way,2
1583,59,gently,2
1586,59,swaying,2
1589,59,back,2
1590,59,forth,2
1596,59,cradles,2
1600,59,veiling,2
1601,59,tension,2
1603,59,beneath,2
1605,59,otherwise,2
1607,59,tender,2
1608,59,movements,2
1613,60,Transforms,2
1619,60,Shakespeare,1
1621,60,deepest,2
1622,60,tragedies,1
1626,60,smart,4
1631,61,screenplay,2
1638,61,James,2
1639,61,Eric,3
1641,61,Horton,2
1643,61,director,2
1645,61,Peter,2
1646,61,O'Fallon,2
1652,61,pat,2
1657,61,teeth,2
1658,61,hurt,1
1662,62,arriving,2
1668,62,particularly,2
1669,62,moment,3
1671,62,history,2
1679,62,flickering,2
1680,62,reminders,2
1683,62,ties,2
1686,62,bind,2
1693,63,generic,1
1694,63,villains,1
1696,63,lack,2
1704,63,their,2
1706,63,funny,3
1707,63,accents,2
1711,63,scenes,2
1714,63,poorly,1
1715,63,delivered,2
1722,64,deeply,2
1724,64,thought,2
1729,64,most,2
1732,64,right-thinking,2
1734,64,films,2
1742,65,gratuitous,2
1744,65,distractions,1
1746,65,impressed,4
1748,65,upon,2
1754,65,fun,4
1757,66,Downright,2
1758,66,transparent,2
1767,66,endless,1
1768,66,assault,1
1772,66,embarrassingly,1
1773,66,ham-fisted,1
1775,66,sex,3
1776,66,jokes,2
1780,66,reek,2
1784,66,rewrite,2
1786,66,designed,2
1789,66,garner,2
1794,66,cooler,2
1797,66,PG-13,3
1798,66,rating,2
1807,67,provocative,3
1808,67,drama,1
1813,67,impossible,0
1814,67,:,2
1817,67,gets,2
1819,67,under,2
1822,67,skin,2
1826,67,man,2
1828,67,we,2
1831,67,know,2
1835,67,evil,1
1838,67,monstrous,1
1839,67,lunatic,2
1845,68,drive-by,2
1851,69,many,2
1852,69,things,2
1860,69,stoner,2
1862,69,midnight,2
1864,69,sci-fi,2
1865,69,deconstruction,2
1867,69,gay,2
1868,69,fantasia,2
1871,69,above,2
1880,69,sanguine,2
1892,70,two,2
1894,70,skittish,2
1897,70,York,2
1898,70,middle-agers,2
1901,70,stumble,2
1906,70,relationship,2
1910,70,struggle,1
1911,70,furiously,1
1916,70,fears,1
1917,70,foibles,2
1927,71,ambition,3
1933,71,subjects,2
1935,71,not,1
1937,71,willingness,2
1941,72,Scherfig,2
1949,72,will,2
1954,72,wondering,2
1962,72,clever,4
1964,72,credits,2
1965,72,roll,2
1971,73,absorbing,3
1972,73,documentary,2
1975,74,Reeks,1
1979,74,rot,1
1980,74,hack,1
1991,75,vignettes,2
1993,75,clips,2
2000,75,looking,2
2004,75,common,2
2005,75,through-line,2
2009,76,Contrived,1
2010,76,pastiche,2
2012,76,caper,2
2017,77,major,2
2018,77,problem,1
2026,77,bulk,2
2029,77,centers,3
2033,77,wrong,1
2038,78,Swimfan,2
2041,78,Attraction,2
2043,78,eventually,2
2047,78,goes,2
2048,78,overboard,1
2053,78,loony,1
2055,78,melodramatic,2
2056,78,denouement,1
2062,78,school,2
2063,78,swimming,2
2065,78,pool,2
2067,78,substitutes,2
2070,78,bathtub,2
2078,79,heartfelt,3
2086,79,involving,2
2091,80,unsettling,2
2095,80,experience,2
2100,80,predecessors,3
2101,80,proud,4
2113,81,pretty,4
2114,81,execution,2
2122,81,lot,2
2124,81,richer,2
2127,81,ones,2
2130,81,Hollywood,2
2132,81,screenwriters,2
2134,81,usually,2
2137,81,come,2
2141,81,own,2
2151,82,Phillip,2
2152,82,Noyce,2
2164,82,cinematographer,2
2166,82,Christopher,2
2167,82,Doyle,2
2169,82,understand,2
2173,82,delicate,3
2174,82,forcefulness,2
2178,82,Greene,2
2179,82,prose,2
2186,82,screen,2
2190,82,version,2
2194,82,American,2
2197,83,Pianist,2
2200,83,lacks,1
2204,83,quick,2
2206,83,emotional,2
2207,83,connections,2
2211,83,Steven,2
2213,83,Spielberg,2
2216,83,Schindler,2
2217,83,List,2
2223,84,Inventive,3
2225,84,intoxicatingly,2
2227,84,sexy,4
2230,84,violent,1
2234,84,maddening,1
2237,85,Tells,2
2240,85,fascinating,3
2243,85,compelling,3
2251,86,Written,2
2252,86,flatly,1
2255,86,Kendall,2
2260,86,directed,2
2261,86,barely,2
2268,86,Mary,2
2270,86,co-writer,2
2272,86,Ed,2
2273,86,Decter,2
2275,87,Highly,2
2278,87,recommended,4
2280,87,viewing,2
2289,87,courage,2
2290,87,ideas,2
2292,87,technical,2
2293,87,proficiency,3
2295,87,great,4
2296,87,acting,2
2300,88,IMAX,2
2302,88,short,2
2310,88,wonderful,3
2314,88,big,2
2318,89,shows,2
2322,89,slice,2
2334,89,yet,2
2336,89,instantly,2
2337,89,recognizable,3
2340,90,Amid,2
2343,90,shock,2
2346,90,curiosity,2
2347,90,factors,2
2355,90,corny,1
2356,90,examination,2
2361,90,actress,2
2363,90,trying,2
2366,90,find,2
2368,90,her,2
2374,91,lazy,1
2380,91,solving,2
2387,91,distract,1
2391,91,solution,3
2393,91,another,2
2401,92,comprehensible,3
2407,92,Dummies,2
2408,92,guide,2
2411,92,non-techies,2
2413,92,enjoy,4
2418,93,Entertains,3
2421,93,because,2
2427,93,music,2
2429,93,comic,2
2430,93,antics,2
2437,93,pleasure,4
2442,93,Disney,3
2443,93,scrape,2
2446,93,bottom,1
2451,93,cracker,2
2452,93,barrel,2
2455,94,Writer\/director,2
2457,94,Burr,2
2458,94,Steers,2
2463,94,emphasizes,2
2466,94,Q,2
2468,94,Quirky,2
2471,94,mixed,2
2472,94,results,2
2477,95,Scarcely,2
2479,95,mention,2
2483,95,reporting,2
2487,95,number,2
2490,95,tumbleweeds,1
2492,95,blowing,2
2496,95,empty,1
2497,95,theatres,2
2500,95,graced,3
2503,95,company,2
2508,96,Invigorating,2
2511,96,surreal,2
2514,96,resonant,3
2517,96,rainbow,2
2519,96,emotion,2
2523,97,Analyze,2
2532,97,crass,2
2535,97,sequels,2
2543,97,fails,0
2550,97,second-guess,2
2552,97,affection,3
2555,97,original,3
2561,98,Report,2
2562,98,card,2
2566,98,live,2
2570,98,exalted,3
2571,98,tagline,2
2577,98,definite,2
2578,98,room,2
2580,98,improvement,3
2592,99,neither,2
2597,99,monsterous,2
2599,100,Tsai,2
2602,100,may,2
2606,100,ploughing,2
2609,100,furrow,2
2611,100,once,2
2613,100,often,2
2616,101,Green,2
2627,101,equivalent,2
2629,101,Saddam,2
2630,101,Hussein,2
2636,101,ready,2
2641,101,go,2
2644,101,U.N.,2
2647,101,ask,2
2648,101,permission,2
2652,101,preemptive,2
2653,101,strike,2
2660,102,surprisingly,3
2663,102,solid,3
2664,102,achievement,3
2669,102,Malcolm,2
2671,102,D.,2
2672,102,Lee,2
2674,102,writer,2
2676,102,John,2
2677,102,Ridley,2
2681,103,Massoud,2
2694,103,record,2
2699,103,tenacious,3
2702,103,humane,3
2703,103,fighter,2
2707,103,was,2
2711,103,prisoner,1
2717,103,victim,1
2721,104,Changing,2
2722,104,Lanes,2
2725,104,tries,2
2728,105,Shyamalan,2
2732,105,stop,2
2736,105,please,2
2738,105,mom,2
2743,106,macabre,1
2748,106,stylized,2
2750,106,Swedish,3
2751,106,fillm,2
2755,106,city,2
2757,106,where,2
2763,106,religious,2
2766,106,civic,2
2767,106,virtues,2
2770,106,hold,2
2772,106,society,2
2776,106,tatters,2
2781,107,recent,2
2782,107,memory,2
2788,107,thoughtful,4
2795,107,art,2
2796,107,ethics,3
2799,107,cost,2
2802,107,moral,2
2803,107,compromise,2
2811,108,consistently,2
2812,108,unimaginative,1
2816,108,probably,2
2822,108,saved,2
2828,108,aid,2
2832,108,wisecracking,2
2834,108,Mystery,2
2836,108,Science,2
2839,108,3000,3
2840,108,guys,2
2844,109,Tian,2
2845,109,Zhuangzhuang,2
2847,109,triumphantly,3
2850,109,returns,2
2854,109,filmmaking,2
2860,109,visually,3
2861,109,masterful,4
2864,109,power,2
2870,110,mawkish,1
2871,110,self-parody,2
2878,110,weird,1
2880,110,Masterpiece,4
2882,110,sketch,2
2889,110,view,2
2890,110,nor,2
2909,111,believe,2
2912,111,puts,2
2913,111,them,2
2917,111,battle,2
2920,111,wills,2
2928,111,care,3
2936,112,appreciate,3
2939,112,one-sided,2
2940,112,theme,2
2944,112,Lawrence,2
2946,112,over-indulgent,1
2947,112,tirade,2
2955,112,knock,2
2956,112,yourself,2
2962,112,postcard,2
2967,112,self-glorified,2
2969,112,Martin,2
2971,112,lovefest,3
2975,113,whole,2
2981,113,sneaky,2
2995,113,dupe,1
2997,113,viewer,2
3001,113,taking,2
3005,113,Important,3
3007,113,simply,2
3012,113,ugly,1
3015,113,look,2
3021,113,product,2
3024,114,Whenever,2
3027,114,threatens,1
3030,114,get,2
3032,114,bogged,2
3036,114,dramaturgy,1
3042,114,stirring,3
3044,114,sequence,2
3050,114,surge,2
3053,114,swirling,3
3054,114,rapids,2
3057,114,leap,2
3060,114,pinnacle,3
3064,114,rouses,2
3066,115,Swinging,2
3073,115,seem,2
3079,115,hobby,2
3082,115,attracts,2
3086,115,fit,3
3090,116,when,2
3097,116,entirely,2
3098,116,unprepared,2
3100,117,Devos,1
3103,117,delivers,2
3107,117,perfect,4
3110,117,captures,2
3114,117,innocence,2
3117,117,budding,2
3118,117,demons,1
3120,117,within,2
3122,117,wallflower,2
3126,118,300,2
3127,118,years,2
3130,118,Russian,2
3133,118,culture,2
3136,118,compressed,2
3141,118,evanescent,2
3144,118,seamless,3
3147,118,sumptuous,3
3148,118,stream,2
3150,118,consciousness,2
3157,119,filmmakers,2
3160,119,want,2
3162,119,else,2
3173,119,cheap,0
3176,119,B,2
3180,119,succeed,3
3186,120,Polanski,2
3191,120,element,2
3193,120,alone,2
3198,120,abandoned,2
3201,120,consoled,2
3211,120,he,2
3215,120,revealed,2
3217,120,before,2
3224,120,spiritual,3
3225,120,survival,2
3228,121,Spider-man,2
3236,121,summer,2
3237,121,blockbuster,3
3243,121,had,2
3246,121,endure,2
3248,121,last,2
3250,121,hopefully,2
3253,121,sets,2
3256,121,tone,2
3262,121,stuff,2
3264,122,Turpin,2
3271,123,vulgar,0
3272,123,forgettably,1
3279,124,images,2
3284,124,war-ravaged,2
3285,124,land,2
3289,124,prove,2
3293,124,potent,3
3294,124,riveting,4
3299,124,unlikely,2
3303,124,Sarah,2
3304,124,Harrison,2
3307,125,Winds,2
3315,125,revelatory,3
3316,125,narcissistic,1
3320,125,achieving,2
3323,125,honest,4
3324,125,insight,2
3326,125,relationships,2
3331,125,high-concept,3
3333,125,candy-coat,2
3340,125,storylines,2
3342,125,precious,3
3343,125,circumstances,2
3345,125,beautiful,4
3346,125,stars,2
3351,126,Mostly,2
3352,126,Martha,2
3355,126,unsurprising,1
3366,126,delectable,4
3367,126,diversion,2
3377,127,affecting,2
3378,127,portrait,2
3383,127,screwed-up,1
3387,127,dared,3
3392,127,powerful,4
3393,127,people,2
3395,127,seen,2
3399,127,eyes,2
3404,127,idealistic,2
3405,127,kid,2
3408,127,chooses,2
3411,127,champion,3
3415,127,losing,1
3416,127,cause,2
3421,128,Keenly,3
3422,128,observed,2
3424,128,refreshingly,3
3425,128,natural,2
3432,128,details,2
3439,128,promenade,2
3444,128,clad,2
3445,128,bodies,2
3450,128,Myrtle,2
3451,128,Beach,2
3452,128,S.C.,2
3458,128,adrenaline,2
3459,128,jolt,2
3464,128,sudden,2
3466,128,lunch,2
3467,128,rush,1
3470,128,diner,2
3475,129,brilliant,4
3479,129,expense,2
3486,129,paid,2
3490,129,pay,2
3497,130,triumph,3
3504,130,hews,2
3510,130,carries,2
3511,130,effortlessly,3
3513,130,darkness,1
3515,130,light,2
3520,131,everyone,2
3522,131,involved,2
3525,131,seems,2
3528,131,coasting,2
3539,132,hooked,3
3544,132,delicious,3
3545,132,pulpiness,2
3549,132,lurid,2
3550,132,fiction,3
3559,133,kind,3
3561,133,production,2
3567,133,been,2
3568,133,funnier,3
3576,133,released,2
3578,133,outtakes,2
3579,133,theatrically,2
3582,133,used,2
3587,133,bonus,3
3590,133,DVD,2
3606,134,Tolstoy,2
3607,134,groupies,2
3609,134,?,2
3611,135,Daughter,3
3614,135,Danang,2
3617,135,reveals,2
3621,135,efforts,2
3623,135,toward,2
3624,135,closure,2
3627,135,open,3
3629,135,wounds,2
3636,136,weirdly,1
3640,136,unpredictable,2
3642,136,pieces,2
3645,137,Intriguing,3
3648,137,intoxicating,3
3651,138,Although,2
3653,138,fairly,2
3665,138,end,2
3667,138,having,2
3672,138,fresh,4
3678,138,growing,2
3682,138,Catholic,2
3685,138,really,2
3686,138,anything,2
3695,139,comprehension,2
3702,139,were,2
3711,140,Sleek,3
3712,140,arty,2
3720,141,Poor,1
3721,141,editing,2
3723,141,bluescreen,2
3725,141,ultra-cheesy,1
3728,141,highlight,3
3731,141,radical,2
3734,142,Cho,2
3742,142,face,2
3746,142,amazing,4
3747,142,slapstick,3
3748,142,instrument,2
3750,142,creating,2
3753,142,scrapbook,2
3756,142,living,2
3758,142,mug,2
3759,142,shots,2
3770,143,frame,2
3773,143,completely,2
3775,143,misses,1
3777,143,emotions,2
3783,144,Initial,2
3784,144,strangeness,2
3786,144,inexorably,2
3791,144,rote,2
3792,144,sentimentality,2
3795,144,mystical,3
3796,144,tenderness,3
3799,144,expedience,3
3805,145,lets,2
3809,145,brush,2
3813,145,humanity,2
3816,145,psycho,2
3818,145,without,2
3821,145,him,2
3832,146,Hartley,2
3837,146,created,2
3839,146,monster,2
3842,146,did,2
3847,146,handle,2
3854,147,cowering,2
3855,147,begging,2
3858,147,feet,2
3861,147,scruffy,2
3862,147,Giannini,2
3865,147,Madonna,2
3872,147,since,2
3875,147,Abel,2
3876,147,Ferrara,2
3880,147,beaten,1
3884,147,pulp,2
3888,147,Dangerous,1
3889,147,Game,2
3893,148,clumsy,1
3896,148,key,2
3897,148,moments,2
3904,148,splash,3
3909,149,Eight,2
3911,149,Legged,2
3912,149,Freaks,2
3915,149,partly,2
3920,149,homage,3
3926,149,Tarantula,2
3928,149,low,2
3931,149,budget,2
3933,149,B-movie,1
3934,149,thrillers,2
3939,149,1950s,2
3940,149,'60s,2
3953,149,sophomoric,1
3954,149,romp,2
3959,149,hellish,1
3960,149,conditions,2
3970,150,Errol,2
3971,150,Morris,2
3975,150,focusing,2
3977,150,eccentricity,2
3982,150,failing,1
3988,150,bigger,3
3993,150,oddballs,1
4000,151,near-future,2
4001,151,America,2
4013,152,scientific,2
4015,152,law,2
4020,152,discerned,2
4023,152,producers,2
4028,152,heed,2
4031,152,Mediocre,1
4035,152,drag,1
4042,152,speeds,2
4043,152,;,2
4048,152,explosions,2
4052,152,fall,2
4062,153,few,2
4065,153,cool,3
4069,153,never,2
4072,153,aware,2
4076,153,coolness,3
4091,154,artist,2
4095,154,tired,1
4098,154,fighting,2
4101,154,fights,1
4104,154,putting,2
4107,154,weight,2
4112,154,shoulders,2
4117,154,form,2
4120,155,stale,2
4123,155,uninspired,1
4129,156,cut,2
4140,156,song,2
4148,156,fully,2
4152,156,example,2
4157,156,lush,3
4160,156,all-enveloping,2
4163,156,rhapsodizes,2
4168,157,rare,3
4170,157,capability,2
4176,157,soothe,2
4177,157,break,2
4179,157,heart,2
4183,157,single,2
4184,157,stroke,1
4189,158,Eerily,2
4190,158,accurate,3
4191,158,depiction,2
4193,158,depression,2
4198,159,feature-length,3
4204,159,wears,1
4210,159,tryingly,2
4218,160,uncluttered,3
4221,160,gem,3
4225,160,relays,2
4228,160,universal,2
4229,160,points,2
4233,160,lectures,2
4234,160,confrontations,1
4241,161,force,2
4245,161,scratch,2
4248,161,hole,2
4251,161,head,2
4260,162,post-camp,2
4266,162,old-time,2
4269,162,good-bad,2
4276,162,perfectly,4
4283,163,creature-feature,2
4284,163,fan,3
4287,163,knows,2
4292,163,cross,2
4294,163,toxic,1
4295,163,chemicals,2
4299,163,bunch,2
4302,163,exotic,2
4303,163,creatures,2
4315,163,running,2
4316,163,around,2
4317,163,screaming,2
4318,163,death,2
4324,164,bet,2
4334,164,convoluted,0
4335,164,journey,2
4346,165,turn,2
4347,165,devolves,1
4352,165,bizarre,1
4353,165,sort,2
4361,165,Shainberg,2
4362,165,adaptation,2
4367,165,Gaitskill,2
4369,165,harrowing,2
4377,165,brilliantly,4
4378,165,played,2
4384,166,Kim,2
4385,166,Ki-Deok,3
4392,166,mind,2
4399,166,emotionally,2
4401,166,least,1
4403,166,adolescent,2
4404,166,audience,2
4406,166,demanding,1
4409,166,regular,2
4412,166,shocks,2
4413,166,bouts,2
4418,166,defensible,2
4420,166,sexual,2
4421,166,violence,0
4424,166,keep,2
4431,167,exist,2
4440,167,employ,2
4442,167,kids,2
4445,167,owe,2
4448,167,favors,2
4452,167,famous,2
4453,167,parents,2
4457,168,well-made,4
4462,168,scattered,1
4465,168,whose,2
4466,168,hero,3
4473,168,dog,3
4483,169,Cinema,2
4484,169,Paradiso,2
4494,169,improved,3
4496,170,Campanella,2
4507,170,middle,2
4510,170,sad,1
